Ecclesiastes 1:1	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of Ecclesiastes, the son of David, king of Jerusalem. 	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of the preacher, the son of David, king of Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem:	Words of a preacher, son of David, king in Jerusalem:	The words of the Preacher, the son of David, king in Jerusalem.	
Ecclesiastes 1:2	Vanity of vanities, saith the Preacher, vanity of vanities; all <i>is</i> vanity.	Vanity of vanities, saith the Preacher; vanity of vanities, all is vanity.	Vanity of vanities, said Ecclesiastes vanity of vanities, and all is vanity. 	Vanity of vanities, saith the Preacher, vanity of vanities! all is vanity.	Vanity of vanities, saith the Preacher; vanity of vanities, all is vanity.	Vanity of vanities, saith the preacher, vanity of vanities; all is vanity.	|Vanity of vanities,| says the Preacher; |Vanity of vanities, all is vanity.|	Vanity of vanities, said the Preacher, Vanity of vanities: the whole is vanity.	Vanity of vanities, said the Preacher, vanity of vanities; all is vanity.	
Ecclesiastes 1:3	What profit hath a man of all his labour which he taketh under the sun?	What profit hath man of all his labor wherein he laboreth under the sun?	What hath a man more of all his labour, that he taketh under the sun? 	What profit hath man of all his labour wherewith he laboureth under the sun?	What profit hath man of all his labour wherein he laboureth under the sun?	What profit hath a man of all his labor, which he taketh under the sun?	What does man gain from all his labor in which he labors under the sun?	What advantage is to man by all his labour that he laboureth at under the sun?	What profit has a man of all his labor which he takes under the sun?	
Ecclesiastes 1:4	<i>One</i> generation passeth away, and <i>another</i> generation cometh: but the earth abideth for ever.	One generation goeth, and another generation cometh; but the earth abideth for ever.	One generation passeth away, and another generation cometh: but the earth standeth for ever. 	One generation passeth away, and another generation cometh, but the earth standeth for ever.	One generation goeth, and another generation cometh; and the earth abideth for ever.	One generation passeth away, and another generation cometh: but the earth abideth for ever.	One generation goes, and another generation comes; but the earth remains forever.	A generation is going, and a generation is coming, and the earth to the age is standing.	One generation passes away, and another generation comes: but the earth stays for ever.	
Ecclesiastes 1:5	The sun also ariseth, and the sun goeth down, and hasteth to his place where he arose.	The sun also ariseth, and the sun goeth down, and hasteth to its place where it ariseth.	The sun riseth, and goeth down, and returneth to his place: and there rising again, 	The sun also riseth, and the sun goeth down, and hasteth to its place where it ariseth.	The sun also ariseth, and the sun goeth down, and hasteth to his place where he ariseth.	The sun also riseth, and the sun goeth down, and hasteth to his place where he arose.	The sun also rises, and the sun goes down, and hurries to its place where it rises.	Also, the sun hath risen, and the sun hath gone in, and unto its place panting it is rising there.	The sun also rises, and the sun goes down, and hastens to his place where he arose.	
Ecclesiastes 1:6	The wind goeth toward the south, and turneth about unto the north; it whirleth about continually, and the wind returneth again according to his circuits.	The wind goeth toward the south, and turneth about unto the north; it turneth about continually in its course, and the wind returneth again to its circuits.	Maketh his round by the south, and turneth again to the north: the spirit goeth forward surveying all places round about, and returneth to his circuits. 	The wind goeth towards the south, and turneth about towards the north: it turneth about continually, and the wind returneth again to its circuits.	The wind goeth toward the south, and turneth about unto the north; it turneth about continually in its course, and the wind returneth again to its circuits.	The wind goeth towards the south, and turneth about to the north; it whirleth about continually, and the wind returneth again according to its circuits.	The wind goes toward the south, and turns around to the north. It turns around continually as it goes, and the wind returns again to its courses.	Going unto the south, and turning round unto the north, turning round, turning round, the wind is going, and by its circuits the wind hath returned.	The wind goes toward the south, and turns about to the north; it whirls about continually, and the wind returns again according to his circuits.	
Ecclesiastes 1:7	All the rivers run into the sea; yet the sea <i>is</i> not full; unto the place from whence the rivers come, thither they return again.	All the rivers run into the sea, yet the sea is not full; unto the place whither the rivers go, thither they go again.	All the rivers run into the sea, yet the sea doth not overflow: unto the place from whence the rivers come, they return, to flow again. 	All the rivers run into the sea, yet the sea is not full: unto the place whither the rivers go, thither they go again.	All the rivers run into the sea, yet the sea is not full; unto the place whither the rivers go, thither they go again.	All the rivers run into the sea; yet the sea is not full; to the place from whence the rivers come, thither they return again.	All the rivers run into the sea, yet the sea is not full. To the place where the rivers flow, there they flow again.	All the streams are going unto the sea, and the sea is not full; unto a place whither the streams are going, thither they are turning back to go.	All the rivers run into the sea; yet the sea is not full; to the place from where the rivers come, thither they return again.	
Ecclesiastes 1:8	All things <i>are</i> full of labour; man cannot utter <i>it</i>: the eye is not satisfied with seeing, nor the ear filled with hearing.	All things are full of weariness; man cannot utter it : the eye is not satisfied with seeing, nor the ear filled with hearing.	All things are hard: man cannot explain them by word. The eye is not filled with seeing, neither is the ear filled with hearing. 	All things are full of toil; none can express it. The eye is not satisfied with seeing, nor the ear filled with hearing.	All things are full of weariness; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.	All things are full of labor; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.	All things are full of weariness beyond uttering. The eye is not satisfied with seeing, nor the ear filled with hearing.	All these things are wearying; a man is not able to speak, the eye is not satisfied by seeing, nor filled is the ear from hearing.	All things are full of labor; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.	
Ecclesiastes 1:9	The thing that hath been, it <i>is that</i> which shall be; and that which is done <i>is</i> that which shall be done: and <i>there is</i> no new <i>thing</i> under the sun.	That which hath been is that which shall be; and that which hath been done is that which shall be done: and there is no new thing under the sun.	What is it that hath been? the same thing that shall be. What is it that hath been done? the same that shall be done. 	That which hath been is that which shall be; and that which hath been done is that which will be done: and there is nothing new under the sun.	That which hath been is that which shall be; and that which hath been done is that which shall be done: and there is no new thing under the sun.	The thing that hath been, it is that which shall be; and that which is done is that which shall be done: and there is no new thing under the sun.	That which has been is that which shall be; and that which has been done is that which shall be done: and there is no new thing under the sun.	What is that which hath been? it is that which is, and what is that which hath been done? it is that which is done, and there is not an entirely new thing under the sun.	The thing that has been, it is that which shall be; and that which is done is that which shall be done: and there is no new thing under the sun.	
Ecclesiastes 1:10	Is there <i>any</i> thing whereof it may be said, See, this <i>is</i> new? it hath been already of old time, which was before us.	Is there a thing whereof it may be said, See, this is new? it hath been long ago, in the ages which were before us.	Nothing under the sun is new, neither is any man able to say: Behold this is new: for it hath already gone before in the ages that were before us. 	Is there a thing whereof it may be said, See, this is new? It hath been already in the ages which were before us.	Is there a thing whereof men say, See, this is new? it hath been already, in the ages which were before us.	Is there any thing of which it may be said, See, this is new? it hath been already of old time, which was before us.	Is there a thing of which it may be said, |Behold, this is new?| It has been long ago, in the ages which were before us.	There is a thing of which one saith: 'See this, it is new!' already it hath been in the ages that were before us!	Is there any thing whereof it may be said, See, this is new? it has been already of old time, which was before us.	
Ecclesiastes 1:11	<i>There is</i> no remembrance of former <i>things</i>; neither shall there be <i>any</i> remembrance of <i>things</i> that are to come with <i>those</i> that shall come after.	There is no remembrance of the former generations ; neither shall there be any remembrance of the latter generations that are to come, among those that shall come after.	There is no remembrance of former things: nor indeed of those things which hereafter are to come, shall there be any remembrance with them that shall be in the latter end. 	There is no remembrance of former things; neither shall there be remembrance of things that are to come with those who shall live afterwards.	There is no remembrance of the former generations; neither shall there be any remembrance of the latter generations that are to come, among those that shall come after.	There is no remembrance of former things; neither shall there be any remembrance of things that are to come with those that shall come after.	There is no memory of the former; neither shall there be any memory of the latter that are to come, among those that shall come after.	There is not a remembrance of former generations; and also of the latter that are, there is no remembrance of them with those that are at the last.	There is no remembrance of former things; neither shall there be any remembrance of things that are to come with those that shall come after.	
